"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Underlying","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Gap","Movement","Max Profit","Max Loss"
"2026-04-02","10:35:00",6546.28,"1 Apr 9 6660 C STO 26.20",2590,6560.28,"2026-04-02","10:36:00",2880,"Stop Loss",-294.8,-11.382239382239383,1,925096.2,119553.6,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,33.67,0,-28.19
"2026-04-02","10:34:00",6546.48,"1 Apr 9 6365 P STO 27.50",2720,6568.05,"2026-04-02","15:45:00",2155,"Exited at Specified Time",560.2,20.59558823529412,1,985344.6,119577.6,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,33.87,23.53,-6.43
"2026-04-02","10:34:00",6546.48,"1 Apr 9 6660 C STO 27.15",2685,6560.28,"2026-04-02","10:36:00",2985,"Stop Loss",-304.8,-11.351955307262571,1,924791.4,119577.6,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,33.87,2.42,-23.65
"2026-04-02","10:33:00",6536.65,"1 Apr 9 6345 P STO 26.85",2655,6568.05,"2026-04-02","15:45:00",1895,"Exited at Specified Time",755.2,28.444444444444443,1,938776,119398,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,24.04,31.45,0
"2026-04-02","10:33:00",6536.65,"1 Apr 9 6650 C STO 26.70",2640,6546.48,"2026-04-02","10:34:00",2935,"Stop Loss",-299.8,-11.356060606060607,1,930522.6,119398,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,24.04,0,-12.88
"2026-04-02","10:32:00",6532.54,"1 Apr 9 6340 P STO 27.05",2675,6568.05,"2026-04-02","15:45:00",1835,"Exited at Specified Time",835.2,31.22242990654206,1,951013.2,119404.8,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,19.93,34.02,0
"2026-04-02","10:32:00",6532.54,"1 Apr 9 6645 C STO 27.35",2705,6546.48,"2026-04-02","10:34:00",3010,"Stop Loss",-309.8,-11.45286506469501,1,930212.8,119404.8,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,19.93,0,-17.74
"2026-04-02","10:31:00",6530.04,"1 Apr 9 6340 P STO 27.35",2705,6568.05,"2026-04-02","15:45:00",1835,"Exited at Specified Time",865.2,31.985212569316086,1,957449.4,119104.8,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,17.43,34.75,0
"2026-04-02","10:31:00",6530.04,"1 Apr 9 6645 C STO 26.95",2665,6546.48,"2026-04-02","10:34:00",2965,"Stop Loss",-304.8,-11.437148217636024,1,928404,119104.8,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,17.43,0,-19.51
"2026-04-02","10:30:00",6527.84,"1 Apr 9 6335 P STO 27.10",2680,6568.05,"2026-04-02","15:45:00",1775,"Exited at Specified Time",900.2,33.58955223880597,1,961755.2,118840.8,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,15.23,36.19,0
"2026-04-02","10:30:00",6527.84,"1 Apr 9 6645 C STO 26.40",2610,6546.48,"2026-04-02","10:34:00",2905,"Stop Loss",-299.8,-11.486590038314176,1,928104.2,118840.8,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,15.23,0,-22.03
"2026-04-02","10:29:00",6530.37,"1 Apr 9 6340 P STO 27.35",2705,6568.05,"2026-04-02","15:45:00",1835,"Exited at Specified Time",865.2,31.985212569316086,1,967706.2,119144.4,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,17.76,34.75,-3.14
"2026-04-02","10:29:00",6530.37,"1 Apr 9 6645 C STO 27.05",2675,6546.48,"2026-04-02","10:34:00",2975,"Stop Loss",-304.8,-11.394392523364488,1,927499.6,119144.4,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,17.76,1.31,-19.07
"2026-04-02","10:28:00",6527.26,"1 Apr 9 6335 P STO 27.35",2705,6568.05,"2026-04-02","15:45:00",1775,"Exited at Specified Time",925.2,34.20332717190389,1,982699,118771.2,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,14.65,36.78,-0.18
"2026-04-02","10:28:00",6527.26,"1 Apr 9 6645 C STO 26.35",2605,6546.48,"2026-04-02","10:34:00",2900,"Stop Loss",-299.8,-11.508637236084454,1,926000.6,118771.2,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,14.65,0,-22.26
"2026-04-02","10:27:00",6527.42,"1 Apr 9 6335 P STO 27.35",2705,6568.05,"2026-04-02","15:45:00",1775,"Exited at Specified Time",925.2,34.20332717190389,1,942181.6,118790.4,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,14.81,36.78,-1.11
"2026-04-02","10:27:00",6527.42,"1 Apr 9 6645 C STO 26.50",2620,6546.48,"2026-04-02","10:34:00",2915,"Stop Loss",-299.8,-11.442748091603054,1,930822.4,118790.4,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,14.81,0,-21.56
"2026-04-02","10:26:00",6526.47,"1 Apr 9 6330 P STO 26.70",2640,6568.05,"2026-04-02","15:45:00",1715,"Exited at Specified Time",920.2,34.85606060606061,1,972762.2,118676.4,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,13.86,37.5,-0.57
"2026-04-02","10:26:00",6526.47,"1 Apr 9 6645 C STO 26.35",2605,6546.48,"2026-04-02","10:34:00",2900,"Stop Loss",-299.8,-11.508637236084454,1,929003.6,118676.4,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,13.86,0,-22.26
"2026-04-02","10:25:00",6531.2,"1 Apr 9 6340 P STO 27.35",2705,6568.05,"2026-04-02","15:45:00",1835,"Exited at Specified Time",865.2,31.985212569316086,1,927959,119244,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,18.59,34.75,-4.81
"2026-04-02","10:25:00",6531.2,"1 Apr 9 6645 C STO 27.45",2715,6546.48,"2026-04-02","10:34:00",3020,"Stop Loss",-309.8,-11.410681399631677,1,931437,119244,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,18.59,2.95,-17.31
"2026-04-02","10:24:00",6530.7,"1 Apr 9 6335 P STO 26.85",2655,6568.05,"2026-04-02","15:45:00",1775,"Exited at Specified Time",875.2,32.96421845574388,1,947832.6,119184,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,18.09,35.59,-3.77
"2026-04-02","10:24:00",6530.7,"1 Apr 9 6645 C STO 27.45",2715,6546.48,"2026-04-02","10:34:00",3020,"Stop Loss",-309.8,-11.410681399631677,1,929603.2,119184,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,18.09,2.95,-17.31
"2026-04-02","10:23:00",6532.35,"1 Apr 9 6340 P STO 27.40",2710,6568.05,"2026-04-02","15:45:00",1835,"Exited at Specified Time",870.2,32.11070110701107,1,960855,118882,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,19.74,34.87,-4.61
"2026-04-02","10:23:00",6532.35,"1 Apr 9 6650 C STO 26.25",2595,6546.48,"2026-04-02","10:34:00",2885,"Stop Loss",-294.8,-11.360308285163777,1,928708.8,118882,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,19.74,4.82,-14.84
"2026-04-02","10:22:00",6533.68,"1 Apr 9 6340 P STO 26.85",2655,6568.05,"2026-04-02","15:45:00",1835,"Exited at Specified Time",815.2,30.704331450094163,1,969866.6,119041.6,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,21.07,33.52,-6.78
"2026-04-02","10:22:00",6533.68,"1 Apr 9 6650 C STO 26.70",2640,6546.48,"2026-04-02","10:34:00",2935,"Stop Loss",-299.8,-11.356060606060607,1,927199.8,119041.6,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,21.07,6.44,-12.88
"2026-04-02","10:21:00",6527.68,"1 Apr 9 6330 P STO 26.65",2635,6568.05,"2026-04-02","15:45:00",1715,"Exited at Specified Time",915.2,34.732447817836814,1,956584.2,118821.6,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,15.07,37.38,-1.33
"2026-04-02","10:21:00",6527.68,"1 Apr 9 6645 C STO 26.95",2665,6546.48,"2026-04-02","10:34:00",2965,"Stop Loss",-304.8,-11.437148217636024,1,925391,118821.6,"SPX","03 10:21 - 10:40 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,15.07,1.13,-19.51
"2026-04-02","10:20:00",6527.97,"1 Apr 9 6330 P STO 26.75",2645,6568.05,"2026-04-02","15:45:00",1715,"Exited at Specified Time",925.2,34.97920604914934,1,973687.4,118856.4,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,15.36,37.62,-0.95
"2026-04-02","10:20:00",6527.97,"1 Apr 9 6645 C STO 26.80",2650,6546.48,"2026-04-02","10:34:00",2945,"Stop Loss",-299.8,-11.313207547169812,1,927804.4,118856.4,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,15.36,0.57,-20.19
"2026-04-02","10:19:00",6529.14,"1 Apr 9 6335 P STO 27.15",2685,6568.05,"2026-04-02","15:45:00",1775,"Exited at Specified Time",905.2,33.713221601489764,1,928864.2,118996.8,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,16.53,36.31,-2.61
"2026-04-02","10:19:00",6529.14,"1 Apr 9 6645 C STO 27.05",2675,6546.48,"2026-04-02","10:34:00",2975,"Stop Loss",-304.8,-11.394392523364488,1,926300.4,118996.8,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,16.53,1.5,-19.07
"2026-04-02","10:18:00",6525.77,"1 Apr 9 6330 P STO 27.05",2675,6568.05,"2026-04-02","15:45:00",1715,"Exited at Specified Time",955.2,35.70841121495327,1,981773.8,118592.4,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,13.16,38.32,0
"2026-04-02","10:18:00",6525.77,"1 Apr 9 6645 C STO 26.55",2625,6546.48,"2026-04-02","10:34:00",2920,"Stop Loss",-299.8,-11.420952380952382,1,926900,118592.4,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,13.16,0,-21.33
"2026-04-02","10:17:00",6522.77,"1 Apr 9 6325 P STO 26.95",2665,6568.05,"2026-04-02","15:45:00",1660,"Exited at Specified Time",1000.2,37.53095684803002,1,937040.6,118732.4,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,10.16,39.96,0
"2026-04-02","10:17:00",6522.77,"1 Apr 9 6640 C STO 27.35",2705,6533.68,"2026-04-02","10:22:00",3010,"Stop Loss",-309.8,-11.45286506469501,1,934195.2,118732.4,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,10.16,0,-11.83
"2026-04-02","10:16:00",6524.2,"1 Apr 9 6330 P STO 27.25",2695,6568.05,"2026-04-02","15:45:00",1715,"Exited at Specified Time",975.2,36.18552875695733,1,946957.4,118404,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,11.59,38.78,-3.34
"2026-04-02","10:16:00",6524.2,"1 Apr 9 6645 C STO 26.45",2615,6546.48,"2026-04-02","10:34:00",2910,"Stop Loss",-299.8,-11.464627151051626,1,929303.4,118404,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,11.59,1.91,-21.8
"2026-04-02","10:15:00",6520.54,"1 Apr 9 6325 P STO 27.10",2680,6568.05,"2026-04-02","15:45:00",1660,"Exited at Specified Time",1015.2,37.88059701492538,1,950178,118464.8,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,7.93,40.3,-0.56
"2026-04-02","10:15:00",6520.54,"1 Apr 9 6640 C STO 27.05",2675,6533.68,"2026-04-02","10:22:00",2975,"Stop Loss",-304.8,-11.394392523364488,1,933270.8,118464.8,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,7.93,0,-13.08
"2026-04-02","10:14:00",6521.49,"1 Apr 9 6325 P STO 27.05",2675,6568.05,"2026-04-02","15:45:00",1660,"Exited at Specified Time",1010.2,37.76448598130842,1,989135.2,118578.8,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,8.88,40.19,-1.31
"2026-04-02","10:14:00",6521.49,"1 Apr 9 6640 C STO 27.50",2720,6533.68,"2026-04-02","10:22:00",3025,"Stop Loss",-309.8,-11.389705882352942,1,932351.4,118578.8,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,8.88,0.55,-11.21
"2026-04-02","10:13:00",6523.28,"1 Apr 9 6325 P STO 27.05",2675,6568.05,"2026-04-02","15:45:00",1660,"Exited at Specified Time",1010.2,37.76448598130842,1,944642,118793.6,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,10.67,40.19,-1.31
"2026-04-02","10:13:00",6523.28,"1 Apr 9 6640 C STO 27.85",2755,6546.48,"2026-04-02","10:34:00",3065,"Stop Loss",-314.8,-11.426497277676951,1,931122.2,118793.6,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,10.67,1.81,-22.32
"2026-04-02","10:12:00",6526.08,"1 Apr 9 6330 P STO 27.20",2690,6568.05,"2026-04-02","15:45:00",1715,"Exited at Specified Time",970.2,36.066914498141266,1,984784.4,118629.6,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,13.47,38.66,-3.9
"2026-04-02","10:12:00",6526.08,"1 Apr 9 6645 C STO 26.90",2660,6546.48,"2026-04-02","10:34:00",2960,"Stop Loss",-304.8,-11.458646616541355,1,925695.8,118629.6,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,13.47,4.32,-19.74
"2026-04-02","10:11:00",6521.74,"1 Apr 9 6325 P STO 27.35",2705,6568.05,"2026-04-02","15:45:00",1660,"Exited at Specified Time",1040.2,38.4547134935305,1,954668.8,118608.8,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,9.13,40.85,-0.18
"2026-04-02","10:11:00",6521.74,"1 Apr 9 6640 C STO 27.55",2725,6533.68,"2026-04-02","10:22:00",3030,"Stop Loss",-309.8,-11.368807339449543,1,933575.6,118608.8,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,9.13,0.73,-11.01
"2026-04-02","10:10:00",6523.15,"1 Apr 9 6325 P STO 27.15",2685,6568.05,"2026-04-02","15:45:00",1660,"Exited at Specified Time",1020.2,37.99627560521415,1,970886.8,118278,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,10.54,40.41,-1.86
"2026-04-02","10:10:00",6523.15,"1 Apr 9 6645 C STO 26.25",2595,6546.48,"2026-04-02","10:34:00",2885,"Stop Loss",-294.8,-11.360308285163777,1,926605.2,118278,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,10.54,1.93,-22.74
"2026-04-02","10:09:00",6525.04,"1 Apr 9 6325 P STO 26.75",2645,6568.05,"2026-04-02","15:45:00",1660,"Exited at Specified Time",980.2,37.0586011342155,1,939756.2,118504.8,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,12.43,39.51,-3.4
"2026-04-02","10:09:00",6525.04,"1 Apr 9 6645 C STO 26.95",2665,6546.48,"2026-04-02","10:34:00",2965,"Stop Loss",-304.8,-11.437148217636024,1,931746.8,118504.8,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,12.43,4.5,-19.51
"2026-04-02","10:08:00",6522.19,"1 Apr 9 6325 P STO 27.05",2675,6568.05,"2026-04-02","15:45:00",1660,"Exited at Specified Time",1010.2,37.76448598130842,1,932459.8,118662.8,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,9.58,40.19,-2.24
"2026-04-02","10:08:00",6522.19,"1 Apr 9 6640 C STO 27.75",2745,6533.68,"2026-04-02","10:22:00",3050,"Stop Loss",-309.8,-11.285974499089253,1,933885.4,118662.8,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,9.58,1.46,-10.2
"2026-04-02","10:07:00",6525.18,"1 Apr 9 6330 P STO 27.05",2675,6568.05,"2026-04-02","15:45:00",1715,"Exited at Specified Time",955.2,35.70841121495327,1,971842,118521.6,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,12.57,38.32,-5.42
"2026-04-02","10:07:00",6525.18,"1 Apr 9 6645 C STO 26.80",2650,6546.48,"2026-04-02","10:34:00",2945,"Stop Loss",-299.8,-11.313207547169812,1,929913,118521.6,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,12.57,3.96,-20.19
"2026-04-02","10:06:00",6514.78,"1 Apr 9 6320 P STO 27.40",2710,6568.05,"2026-04-02","15:45:00",1605,"Exited at Specified Time",1100.2,40.59778597785978,1,923448.2,118273.6,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,2.17,42.8,0
"2026-04-02","10:06:00",6514.78,"1 Apr 9 6635 C STO 27.15",2685,6525.18,"2026-04-02","10:07:00",2985,"Stop Loss",-304.8,-11.351955307262571,1,934799.8,118273.6,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,2.17,0,-12.85
"2026-04-02","10:05:00",6514.78,"1 Apr 9 6315 P STO 26.60",2630,6568.05,"2026-04-02","15:45:00",1555,"Exited at Specified Time",1070.2,40.69201520912548,1,927093.8,118273.6,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,2.17,42.97,-0.95
"2026-04-02","10:05:00",6514.78,"1 Apr 9 6635 C STO 27.25",2695,6525.18,"2026-04-02","10:07:00",2995,"Stop Loss",-304.8,-11.309833024118738,1,936019,118273.6,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,2.17,0,-12.43
"2026-04-02","10:04:00",6515.61,"1 Apr 9 6320 P STO 27.05",2675,6568.05,"2026-04-02","15:45:00",1605,"Exited at Specified Time",1065.2,39.82056074766355,1,929929.4,118373.2,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,3,42.06,-2.62
"2026-04-02","10:04:00",6515.61,"1 Apr 9 6635 C STO 27.25",2695,6525.18,"2026-04-02","10:07:00",2995,"Stop Loss",-304.8,-11.309833024118738,1,935714.2,118373.2,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,3,0,-12.43
"2026-04-02","10:03:00",6515.38,"1 Apr 9 6320 P STO 27.35",2705,6568.05,"2026-04-02","15:45:00",1605,"Exited at Specified Time",1095.2,40.48798521256931,1,936040.4,118345.6,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,2.77,42.7,-1.48
"2026-04-02","10:03:00",6515.38,"1 Apr 9 6635 C STO 27.20",2690,6525.18,"2026-04-02","10:07:00",2990,"Stop Loss",-304.8,-11.330855018587362,1,935409.4,118345.6,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,2.77,0,-12.64
"2026-04-02","10:02:00",6518.38,"1 Apr 9 6320 P STO 26.65",2635,6568.05,"2026-04-02","15:45:00",1605,"Exited at Specified Time",1025.2,38.907020872865274,1,958474.6,118205.6,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,5.77,41.18,-4.17
"2026-04-02","10:02:00",6518.38,"1 Apr 9 6640 C STO 26.25",2595,6525.04,"2026-04-02","10:09:00",2885,"Stop Loss",-294.8,-11.360308285163777,1,934505,118205.6,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,5.77,1.54,-10.02
"2026-04-02","10:01:00",6520.87,"1 Apr 9 6325 P STO 26.75",2645,6568.05,"2026-04-02","15:45:00",1660,"Exited at Specified Time",980.2,37.0586011342155,1,938020.8,118504.4,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,8.26,39.51,-6.81
"2026-04-02","10:01:00",6520.87,"1 Apr 9 6640 C STO 26.95",2665,6533.68,"2026-04-02","10:22:00",2965,"Stop Loss",-304.8,-11.437148217636024,1,932661.2,118504.4,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,8.26,4.13,-13.51
"2026-04-02","10:00:00",6521.19,"1 Apr 9 6325 P STO 26.95",2665,6568.05,"2026-04-02","15:45:00",1660,"Exited at Specified Time",1000.2,37.53095684803002,1,955669,118542.8,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,8.58,39.96,-6
"2026-04-02","10:00:00",6521.19,"1 Apr 9 6640 C STO 27.25",2695,6533.68,"2026-04-02","10:22:00",2995,"Stop Loss",-304.8,-11.309833024118738,1,932966,118542.8,"SPX","02 10:00 - 10:20 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,8.58,5.19,-12.24
"2026-04-02","09:59:00",6518.42,"1 Apr 9 6325 P STO 27.15",2685,6568.05,"2026-04-02","15:45:00",1660,"Exited at Specified Time",1020.2,37.99627560521415,1,964305.6,118210.4,"SPX","01 9:51 - 9:59 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,5.81,40.41,-5.21
"2026-04-02","09:59:00",6518.42,"1 Apr 9 6640 C STO 26.65",2635,6533.68,"2026-04-02","10:22:00",2930,"Stop Loss",-299.8,-11.377609108159394,1,932051.6,118210.4,"SPX","01 9:51 - 9:59 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,5.81,3.04,-14.8
"2026-04-02","09:58:00",6514.38,"1 Apr 9 6320 P STO 26.95",2665,6568.05,"2026-04-02","15:45:00",1605,"Exited at Specified Time",1055.2,39.59474671669794,1,975997.8,118225.6,"SPX","01 9:51 - 9:59 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,1.77,41.84,-3
"2026-04-02","09:58:00",6514.38,"1 Apr 9 6635 C STO 27.30",2700,6525.18,"2026-04-02","10:07:00",3000,"Stop Loss",-304.8,-11.28888888888889,1,935104.6,118225.6,"SPX","01 9:51 - 9:59 - 7DTE IC  .1x EOD Close",2.4,2.4,-62.71,1.77,0,-12.22
